"CisControl","CheckId","Collector","Area","Name","ImpactSeverity"
"1.1.1","ENTRA-CLOUDADMIN-001","Entra","CLOUDADMIN","Ensure Administrative accounts are cloud-only","High"
"1.1.2","ENTRA-ADMIN-003","Entra","ADMIN","Ensure two emergency access accounts have been defined","Critical"
"1.1.3","ENTRA-ADMIN-001","Entra","ADMIN","Ensure that between two and four global admins are designated","Medium"
"1.1.4","ENTRA-CLOUDADMIN-002","Entra","CLOUDADMIN","Ensure administrative accounts use licenses with a reduced application footprint","Medium"
"1.2.1","ENTRA-GROUP-003","Entra","GROUP","Ensure that only organizationally managed/approved public groups exist","Medium"
"1.2.2","EXO-SHAREDMBX-001","ExchangeOnline","SHAREDMBX","Ensure sign-in to shared mailboxes is blocked","Medium"
"1.3.1","ENTRA-PASSWORD-001","Entra","PASSWORD","Ensure the 'Password expiration policy' is set to 'Set passwords to never expire'","Low"
"1.3.2","SPO-SESSION-001","SharePoint","SESSION","Ensure 'Idle session timeout' is set to '3 hours (or less)' for unmanaged devices","Medium"
"1.3.3","EXO-SHARING-001","ExchangeOnline","SHARING","Ensure 'External sharing' of calendars is not available","Low"
"1.3.4","ENTRA-ORGSETTING-001","Entra","ORGSETTING","Ensure 'User owned apps and services' is restricted","Medium"
"1.3.5","ENTRA-ORGSETTING-002","Entra","ORGSETTING","Ensure internal phishing protection for Forms is enabled","Low"
"1.3.6","EXO-LOCKBOX-001","ExchangeOnline","LOCKBOX","Ensure the customer lockbox feature is enabled","Low"
"1.3.7","ENTRA-ORGSETTING-003","Entra","ORGSETTING","Ensure 'third-party storage services' are restricted in 'Microsoft 365 on the web'","Medium"
"1.3.8","SPO-SWAY-001","SharePoint","SWAY","Ensure that Sways cannot be shared with people outside of your organization","Medium"
"1.3.9","ENTRA-ORGSETTING-004","Entra","ORGSETTING","Ensure shared bookings pages are restricted to select users","Low"
"2.1.1","DEFENDER-SAFELINKS-001","Defender","SAFELINKS","Ensure Safe Links for Office Applications is Enabled","High"
"2.1.2","DEFENDER-ANTIMALWARE-001","Defender","ANTIMALWARE","Ensure the Common Attachment Types Filter is enabled","Medium"
"2.1.3","DEFENDER-ANTIMALWARE-002","Defender","ANTIMALWARE","Ensure notifications for internal users sending malware is Enabled","Medium"
"2.1.4","DEFENDER-SAFEATTACH-001","Defender","SAFEATTACH","Ensure Safe Attachments policy is enabled","High"
"2.1.5","DEFENDER-SAFEATTACH-002","Defender","SAFEATTACH","Ensure Safe Attachments for SharePoint OneDrive and Microsoft Teams is Enabled","Medium"
"2.1.6","DEFENDER-ANTISPAM-001","Defender","ANTISPAM","Ensure Exchange Online Spam Policies are set to notify administrators","Medium"
"2.1.7","DEFENDER-ANTIPHISH-001","Defender","ANTIPHISH","Ensure that an anti-phishing policy has been created","Medium"
"2.1.8","DNS-SPF-001","DNS","SPF","Ensure that SPF records are published for all Exchange Domains","High"
"2.1.9","DNS-DKIM-001","DNS","DKIM","Ensure that DKIM is enabled for all Exchange Online Domains","Low"
"2.1.10","DNS-DMARC-001","DNS","DMARC","Ensure DMARC Records for all Exchange Online domains are published","High"
"2.1.11","DEFENDER-MALWARE-002","Defender","MALWARE","Ensure comprehensive attachment filtering is applied","Medium"
"2.1.12","EXO-CONNFILTER-001","ExchangeOnline","CONNFILTER","Ensure the connection filter IP allow list is not used","High"
"2.1.13","EXO-CONNFILTER-002","ExchangeOnline","CONNFILTER","Ensure the connection filter safe list is off","Medium"
"2.1.14","DEFENDER-ANTISPAM-002","Defender","ANTISPAM","Ensure inbound anti-spam policies do not contain allowed domains","High"
"2.1.15","DEFENDER-OUTBOUND-001","Defender","OUTBOUND","Ensure outbound anti-spam message limits are in place","Medium"
"2.4.1","DEFENDER-PRIORITY-001","Defender","PRIORITY","Ensure Priority account protection is enabled and configured","Medium"
"2.4.2","DEFENDER-PRIORITY-002","Defender","PRIORITY","Ensure Priority accounts have 'Strict protection' presets applied","Medium"
"2.4.3","DEFENDER-CLOUDAPPS-001","Defender","CLOUDAPPS","Ensure Microsoft Defender for Cloud Apps is enabled and configured","Medium"
"2.4.4","DEFENDER-ZAP-001","Defender","ZAP","Ensure Zero-hour auto purge for Microsoft Teams is on","Medium"
"3.1.1","COMPLIANCE-AUDIT-001","Compliance","AUDIT","Ensure Microsoft 365 audit log search is Enabled","High"
"3.2.1","COMPLIANCE-DLP-001","Compliance","DLP","Ensure DLP policies are enabled","High"
"3.2.2","COMPLIANCE-DLP-002","Compliance","DLP","Ensure DLP policies are enabled for Microsoft Teams","High"
"3.3.1","COMPLIANCE-LABELS-001","Compliance","LABELS","Ensure Information Protection sensitivity label policies are published","Medium"
"4.1","INTUNE-COMPLIANCE-001","Intune","COMPLIANCE","Ensure devices without a compliance policy are marked 'not compliant'","High"
"4.2","INTUNE-ENROLL-001","Intune","ENROLL","Ensure device enrollment for personally owned devices is blocked by default","Medium"
"5.1.2.1","ENTRA-PERUSER-001","Entra","PERUSER","Ensure 'Per-user MFA' is disabled","Medium"
"5.1.2.2","ENTRA-APPS-001","Entra","APPS","Ensure third party integrated applications are not allowed","Medium"
"5.1.2.3","ENTRA-TENANT-001","Entra","TENANT","Ensure 'Restrict non-admin users from creating tenants' is set to 'Yes'","Low"
"5.1.2.4","ENTRA-ADMIN-002","Entra","ADMIN","Ensure access to the Entra admin center is restricted","Low"
"5.1.2.5","ENTRA-SESSION-001","Entra","SESSION","Ensure the option to remain signed in is hidden","Medium"
"5.1.2.6","ENTRA-LINKEDIN-001","Entra","LINKEDIN","Ensure 'LinkedIn account connections' is disabled","Low"
"5.1.3.1","ENTRA-GROUP-002","Entra","GROUP","Ensure a dynamic group for guest users is created","Low"
"5.1.3.2","ENTRA-GROUP-001","Entra","GROUP","Ensure users cannot create security groups","Low"
"5.1.4.1","ENTRA-DEVICE-001","Entra","DEVICE","Ensure the ability to join devices to Entra is restricted","Medium"
"5.1.4.2","ENTRA-DEVICE-002","Entra","DEVICE","Ensure the maximum number of devices per user is limited","Medium"
"5.1.4.3","ENTRA-DEVICE-003","Entra","DEVICE","Ensure the GA role is not added as a local administrator during Entra join","Medium"
"5.1.4.4","ENTRA-DEVICE-004","Entra","DEVICE","Ensure local administrator assignment is limited during Entra join","Medium"
"5.1.4.5","ENTRA-DEVICE-005","Entra","DEVICE","Ensure Local Administrator Password Solution is enabled","Medium"
"5.1.4.6","ENTRA-DEVICE-006","Entra","DEVICE","Ensure users are restricted from recovering BitLocker keys","Medium"
"5.1.5.1","ENTRA-CONSENT-001","Entra","CONSENT","Ensure user consent to apps accessing company data on their behalf is not allowed","Low"
"5.1.5.2","ENTRA-CONSENT-002","Entra","CONSENT","Ensure the admin consent workflow is enabled","Low"
"5.1.6.1","ENTRA-GUEST-004","Entra","GUEST","Ensure that collaboration invitations are sent to allowed domains only","Medium"
"5.1.6.2","ENTRA-GUEST-001","Entra","GUEST","Ensure that guest user access is restricted","Low"
"5.1.6.3","ENTRA-GUEST-002","Entra","GUEST","Ensure guest user invitations are limited to the Guest Inviter role","Low"
"5.1.8.1","ENTRA-HYBRID-001","Entra","HYBRID","Ensure that password hash sync is enabled for hybrid deployments","High"
"5.2.2.1","CA-MFA-ADMIN-001","CAEvaluator","MFA-ADMIN","Ensure multifactor authentication is enabled for all users in administrative roles","High"
"5.2.2.2","CA-MFA-ALL-001","CAEvaluator","MFA-ALL","Ensure multifactor authentication is enabled for all users","High"
"5.2.2.3","ENTRA-CA-001","Entra","CA","Enable Conditional Access policies to block legacy authentication","High"
"5.2.2.4","CA-SIGNIN-FREQ-001","CAEvaluator","SIGNIN-FREQ","Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users","Medium"
"5.2.2.5","CA-PHISHRES-001","CAEvaluator","PHISHRES","Ensure 'Phishing-resistant MFA strength' is required for Administrators","High"
"5.2.2.6","CA-USERRISK-001","CAEvaluator","USERRISK","Enable Identity Protection user risk policies","High"
"5.2.2.7","CA-SIGNINRISK-001","CAEvaluator","SIGNINRISK","Enable Identity Protection sign-in risk policies","High"
"5.2.2.8","CA-SIGNINRISK-002","CAEvaluator","SIGNINRISK","Ensure 'sign-in risk' is blocked for medium and high risk","High"
"5.2.2.9","CA-DEVICE-001","CAEvaluator","DEVICE","Ensure a managed device is required for authentication","High"
"5.2.2.10","CA-DEVICE-002","CAEvaluator","DEVICE","Ensure a managed device is required to register security information","Medium"
"5.2.2.11","CA-INTUNE-001","CAEvaluator","INTUNE","Ensure sign-in frequency for Intune Enrollment is set to 'Every time'","Medium"
"5.2.2.12","CA-DEVICECODE-001","CAEvaluator","DEVICECODE","Ensure the device code sign-in flow is blocked","High"
"5.2.3.1","ENTRA-AUTHMETHOD-003","Entra","AUTHMETHOD","Ensure Microsoft Authenticator is configured to protect against MFA fatigue","Low"
"5.2.3.2","ENTRA-PASSWORD-002","Entra","PASSWORD","Ensure custom banned passwords lists are used","Medium"
"5.2.3.3","ENTRA-PASSWORD-005","Entra","PASSWORD","Ensure password protection is enabled for on-prem Active Directory","Medium"
"5.2.3.4","ENTRA-MFA-001","Entra","MFA","Ensure all member users are 'MFA capable'","High"
"5.2.3.5","ENTRA-AUTHMETHOD-001","Entra","AUTHMETHOD","Ensure weak authentication methods are disabled","Medium"
"5.2.3.6","ENTRA-AUTHMETHOD-004","Entra","AUTHMETHOD","Ensure system-preferred multifactor authentication is enabled","Medium"
"5.2.3.7","ENTRA-AUTHMETHOD-002","Entra","AUTHMETHOD","Ensure the email OTP authentication method is disabled","Medium"
"5.2.4.1","ENTRA-SSPR-001","Entra","SSPR","Ensure 'Self service password reset enabled' is set to 'All'","Medium"
"5.3.1","ENTRA-PIM-001","Entra","PIM","Ensure 'Privileged Identity Management' is used to manage roles","High"
"5.3.2","ENTRA-PIM-002","Entra","PIM","Ensure 'Access reviews' for Guest Users are configured","Medium"
"5.3.3","ENTRA-PIM-003","Entra","PIM","Ensure 'Access reviews' for privileged roles are configured","High"
"5.3.4","ENTRA-PIM-004","Entra","PIM","Ensure approval is required for Global Administrator role activation","High"
"5.3.5","ENTRA-PIM-005","Entra","PIM","Ensure approval is required for Privileged Role Administrator activation","High"
"6.1.1","EXO-AUDIT-001","ExchangeOnline","AUDIT","Ensure 'AuditDisabled' organizationally is set to 'False'","Low"
"6.1.2","EXO-AUDIT-003","ExchangeOnline","AUDIT","Ensure mailbox audit actions are configured","Medium"
"6.1.3","EXO-AUDIT-002","ExchangeOnline","AUDIT","Ensure 'AuditBypassEnabled' is not enabled on mailboxes","Low"
"6.2.1","EXO-FORWARD-001","ExchangeOnline","FORWARD","Ensure all forms of mail forwarding are blocked and/or disabled","High"
"6.2.2","EXO-TRANSPORT-001","ExchangeOnline","TRANSPORT","Ensure mail transport rules do not whitelist specific domains","Medium"
"6.2.3","EXO-EXTTAG-001","ExchangeOnline","EXTTAG","Ensure email from external senders is identified","Low"
"6.3.1","EXO-ADDINS-001","ExchangeOnline","ADDINS","Ensure users installing Outlook add-ins is not allowed","Medium"
"6.5.1","EXO-AUTH-001","ExchangeOnline","AUTH","Ensure modern authentication for Exchange Online is enabled","Medium"
"6.5.2","EXO-MAILTIPS-001","ExchangeOnline","MAILTIPS","Ensure MailTips are enabled for end users","Low"
"6.5.3","EXO-OWA-001","ExchangeOnline","OWA","Ensure additional storage providers are restricted in Outlook on the web","Medium"
"6.5.4","EXO-AUTH-002","ExchangeOnline","AUTH","Ensure SMTP AUTH is disabled","High"
"6.5.5","EXO-DIRECTSEND-001","ExchangeOnline","DIRECTSEND","Ensure Direct Send is not allowed for unauthorized relay","High"
"7.2.1","SPO-AUTH-001","SharePoint","AUTH","Ensure modern authentication for SharePoint applications is required","High"
"7.2.2","SPO-B2B-001","SharePoint","B2B","Ensure SharePoint and OneDrive integration with Azure AD B2B is enabled","Medium"
"7.2.3","SPO-SHARING-001","SharePoint","SHARING","Ensure external content sharing is restricted","High"
"7.2.4","SPO-OD-001","SharePoint","OD","Ensure OneDrive content sharing is restricted","High"
"7.2.5","SPO-SHARING-002","SharePoint","SHARING","Ensure that SharePoint guest users cannot share items they don't own","Medium"
"7.2.6","SPO-SHARING-003","SharePoint","SHARING","Ensure SharePoint external sharing is managed through domain whitelist/blacklists","Medium"
"7.2.7","SPO-SHARING-004","SharePoint","SHARING","Ensure link sharing is restricted in SharePoint and OneDrive","Medium"
"7.2.8","SPO-SHARING-008","SharePoint","SHARING","Ensure external sharing is restricted by security group","Medium"
"7.2.9","SPO-SHARING-005","SharePoint","SHARING","Ensure guest access to a site or OneDrive will expire automatically","Medium"
"7.2.10","SPO-SHARING-006","SharePoint","SHARING","Ensure reauthentication with verification code is restricted","Medium"
"7.2.11","SPO-SHARING-007","SharePoint","SHARING","Ensure the SharePoint default sharing link permission is set","Medium"
"7.3.1","SPO-MALWARE-002","SharePoint","MALWARE","Ensure Office 365 SharePoint infected files are disallowed for download","High"
"7.3.2","SPO-SYNC-001","SharePoint","SYNC","Ensure OneDrive sync is restricted for unmanaged devices","Medium"
"7.3.3","SPO-SCRIPT-001","SharePoint","SCRIPT","Ensure custom script execution is restricted on personal sites","High"
"7.3.4","SPO-SCRIPT-002","SharePoint","SCRIPT","Ensure custom script execution is restricted on site collections","High"
"8.1.1","TEAMS-CLIENT-001","Teams","CLIENT","Ensure external file sharing in Teams is enabled for only approved cloud storage services","Medium"
"8.1.2","TEAMS-CLIENT-002","Teams","CLIENT","Ensure users can't send emails to a channel email address","Low"
"8.2.1","TEAMS-EXTACCESS-003","Teams","EXTACCESS","Ensure external domains are restricted in the Teams admin center","Medium"
"8.2.2","TEAMS-EXTACCESS-001","Teams","EXTACCESS","Ensure communication with unmanaged Teams users is disabled","Medium"
"8.2.3","TEAMS-EXTACCESS-002","Teams","EXTACCESS","Ensure external Teams users cannot initiate conversations","Medium"
"8.2.4","TEAMS-EXTACCESS-004","Teams","EXTACCESS","Ensure communication with Skype users is disabled","Medium"
"8.4.1","TEAMS-APPS-002","Teams","APPS","Ensure app permission policies are configured","Medium"
"8.5.1","TEAMS-MEETING-001","Teams","MEETING","Ensure anonymous users can't join a meeting","High"
"8.5.2","TEAMS-MEETING-002","Teams","MEETING","Ensure anonymous users and dial-in callers can't start a meeting","Medium"
"8.5.3","TEAMS-MEETING-003","Teams","MEETING","Ensure only people in my org can bypass the lobby","Medium"
"8.5.4","TEAMS-MEETING-004","Teams","MEETING","Ensure users dialing in can't bypass the lobby","Medium"
"8.5.5","TEAMS-MEETING-006","Teams","MEETING","Ensure meeting chat does not allow anonymous users","Medium"
"8.5.6","TEAMS-MEETING-007","Teams","MEETING","Ensure only organizers and co-organizers can present","Medium"
"8.5.7","TEAMS-MEETING-005","Teams","MEETING","Ensure external participants can't give or request control","Medium"
"8.5.8","TEAMS-MEETING-008","Teams","MEETING","Ensure external meeting chat is off","Medium"
"8.5.9","TEAMS-MEETING-009","Teams","MEETING","Ensure meeting recording is off by default","Medium"
"8.6.1","TEAMS-REPORTING-001","Teams","REPORTING","Ensure users can report security concerns in Teams","Medium"
"9.1.1","PBI-GUEST-001","PowerBI","GUEST","Ensure guest user access is restricted in Power BI","Medium"
"9.1.2","PBI-INVITE-001","PowerBI","INVITE","Ensure external user invitations are restricted in Power BI","Medium"
"9.1.3","PBI-CONTENT-001","PowerBI","CONTENT","Ensure guest access to content is restricted in Power BI","Medium"
"9.1.4","PBI-PUBLISH-001","PowerBI","PUBLISH","Ensure 'Publish to web' is restricted in Power BI","Medium"
"9.1.5","PBI-SCRIPT-001","PowerBI","SCRIPT","Ensure 'Interact with and share R and Python' visuals is 'Disabled' in Power BI","Medium"
"9.1.6","PBI-LABELS-001","PowerBI","LABELS","Ensure 'Allow users to apply sensitivity labels for content' is 'Enabled' in Power BI","Medium"
"9.1.7","PBI-LINK-001","PowerBI","LINK","Ensure shareable links are restricted in Power BI","Medium"
"9.1.8","PBI-SHARING-001","PowerBI","SHARING","Ensure enabling of external data sharing is restricted in Power BI","Medium"
"9.1.9","PBI-AUTH-001","PowerBI","AUTH","Ensure 'Block ResourceKey Authentication' is 'Enabled' in Power BI","Medium"
"9.1.10","PBI-API-001","PowerBI","API","Ensure access to APIs by Service Principals is restricted in Power BI","Medium"
"9.1.11","PBI-PROFILE-001","PowerBI","PROFILE","Ensure Service Principals cannot create and use profiles in Power BI","Medium"
