checkId,name,category,collector,nist80053,matchQuality,autoScfPrimary,autoScfDomain,autoScfControlName,autoScfWeighting,autoScfAdditional,unmatchedNist,manualOverridePrimary,manualOverrideAdditional,reviewNotes
ENTRA-CLOUDADMIN-001,Ensure Administrative accounts are cloud-only,CLOUDADMIN,Entra,AC-6(5);AC-2,FULL,IAC-21.3,Identification & Authentication,Does the organization restrict the assignment of privileged accounts to management-approved personnel and/or roles?,10,IAC-15;IAC-07.2;NET-12;TDA-18,,,,
ENTRA-SYNCADMIN-001,On-premises synced admin accounts (compromise path),SYNCADMIN,StrykerReadiness,AC-6(5);AC-2,FULL,IAC-21.3,Identification & Authentication,Does the organization restrict the assignment of privileged accounts to management-approved personnel and/or roles?,10,IAC-15;IAC-07.2;NET-12;TDA-18,,,,
ENTRA-ADMIN-003,Ensure two emergency access accounts have been defined,ADMIN,Entra,AC-2;AC-2(2),FULL,IAC-15.2,Identification & Authentication,Does the organization use automated mechanisms to disable or remove temporary and emergency accounts after an organizati,9,IAC-15;IAC-07.2;NET-12;TDA-18,,,,
ENTRA-ADMIN-001,Ensure that between two and four global admins are designated,ADMIN,Entra,AC-6(5),FULL,IAC-21.3,Identification & Authentication,Does the organization restrict the assignment of privileged accounts to management-approved personnel and/or roles?,10,,,,,
ENTRA-BREAKGLASS-001,No break-glass emergency access account detected,BREAKGLASS,StrykerReadiness,AC-2(2);CP-2,FULL,IAC-15.2,Identification & Authentication,Does the organization use automated mechanisms to disable or remove temporary and emergency accounts after an organizati,9,BCD-06;BCD-01,,,,
ENTRA-CLOUDADMIN-002,Ensure administrative accounts use licenses with a reduced application footprint,CLOUDADMIN,Entra,AC-6;AC-6(5),FULL,IAC-21.3,Identification & Authentication,Does the organization restrict the assignment of privileged accounts to management-approved personnel and/or roles?,10,IAC-21;IAC-20,,,,
ENTRA-GROUP-003,Ensure that only organizationally managed/approved public groups exist,GROUP,Entra,AC-6(10);CM-5,FULL,END-03.2,Endpoint Security,"Does the organization define, document, approve and enforce access restrictions associated with changes to Technology As",8,IAC-21.5;CHG-04,,,,
EXO-SHAREDMBX-001,Ensure sign-in to shared mailboxes is blocked,SHAREDMBX,ExchangeOnline,AC-2;AC-3,FULL,IAC-15,Identification & Authentication,"Does the organization proactively govern account management of individual, group, system, service, application, guest an",10,IAC-07.2;IAC-20;NET-12;TDA-18,,,,
ENTRA-PASSWORD-001,Ensure the 'Password expiration policy' is set to 'Set passwords to never expire',PASSWORD,Entra,IA-5(1),FULL,IAC-10.1,Identification & Authentication,"Does the organization enforce complexity, length and lifespan considerations to ensure strong criteria for password-base",9,IAC-10.4;IAC-10,,,,
SPO-SESSION-001,Ensure 'Idle session timeout' is set to '3 hours (or less)' for unmanaged devices,SESSION,SharePoint,AC-11;AC-12,FULL,IAC-25,Identification & Authentication,"Does the organization use automated mechanisms to log out users, both locally on the network and for remote sessions, at",9,IAC-24,,,,
EXO-SHARING-001,Ensure 'External sharing' of calendars is not available,SHARING,ExchangeOnline,AC-3;SC-7(10),FULL,NET-03.5,Network Security,Does the organization use automated mechanisms to prevent the unauthorized exfiltration of sensitive/regulated data acro,5,NET-17;IAC-20;NET-12;TDA-18,,,,
ENTRA-ORGSETTING-001,Ensure 'User owned apps and services' is restricted,ORGSETTING,Entra,CM-7;CM-11,FULL,CFG-03,Configuration Management,Does the organization configure systems to provide only essential capabilities by specifically prohibiting or restrictin,10,CFG-05;END-03,,,,
ENTRA-ORGSETTING-002,Ensure internal phishing protection for Forms is enabled,ORGSETTING,Entra,SI-8,FULL,END-08,Endpoint Security,Does the organization utilize anti-phishing and spam protection technologies to detect and take action on unsolicited me,10,,,,,
EXO-LOCKBOX-001,Ensure the customer lockbox feature is enabled,LOCKBOX,ExchangeOnline,AC-3;AC-6,FULL,IAC-21,Identification & Authentication,"Does the organization utilize the concept of least privilege, allowing only authorized access to processes necessary to ",10,IAC-20;TDA-18;NET-12,,,,
ENTRA-ORGSETTING-003,Ensure 'third-party storage services' are restricted in 'Microsoft 365 on the web',ORGSETTING,Entra,CM-7;SC-7(10),FULL,CFG-03,Configuration Management,Does the organization configure systems to provide only essential capabilities by specifically prohibiting or restrictin,10,NET-03.5;NET-17,,,,
SPO-SWAY-001,Ensure that Sways cannot be shared with people outside of your organization,SWAY,SharePoint,AC-3;SC-7(10),FULL,NET-03.5,Network Security,Does the organization use automated mechanisms to prevent the unauthorized exfiltration of sensitive/regulated data acro,5,NET-17;IAC-20;NET-12;TDA-18,,,,
ENTRA-ORGSETTING-004,Ensure shared bookings pages are restricted to select users,ORGSETTING,Entra,AC-3;AC-6,FULL,IAC-21,Identification & Authentication,"Does the organization utilize the concept of least privilege, allowing only authorized access to processes necessary to ",10,IAC-20;TDA-18;NET-12,,,,
DEFENDER-SAFELINKS-001,Ensure Safe Links for Office Applications is Enabled,SAFELINKS,Defender,CM-6a;SI-3a;SI-8,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;CFG-02.7;END-08;END-04.1;VPM-01,,,,
DEFENDER-ANTIMALWARE-001,Ensure the Common Attachment Types Filter is enabled,ANTIMALWARE,Defender,CM-6a;SI-3a;SI-8,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;CFG-02.7;END-08;END-04.1;VPM-01,,,,
DEFENDER-ANTIMALWARE-002,Ensure notifications for internal users sending malware is Enabled,ANTIMALWARE,Defender,SI-3a;SI-4(5),FULL,MON-01.4,Continuous Monitoring,"Does the organization generate, monitor, correlate and respond to alerts from physical, cybersecurity, data protection a",7,END-04;END-04.4;END-04.1;VPM-01;VPM-05,,,,
DEFENDER-SAFEATTACH-001,Ensure Safe Attachments policy is enabled,SAFEATTACH,Defender,CM-6a;SI-3a;SI-8,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;CFG-02.7;END-08;END-04.1;VPM-01,,,,
DEFENDER-SAFEATTACH-002,Ensure Safe Attachments for SharePoint OneDrive and Microsoft Teams is Enabled,SAFEATTACH,Defender,SI-3a,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;END-04.1;VPM-01;VPM-05;TDA-18,,,,
DEFENDER-ANTISPAM-001,Ensure Exchange Online Spam Policies are set to notify administrators,ANTISPAM,Defender,CM-6a;SI-3a;SI-8,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;CFG-02.7;END-08;END-04.1;VPM-01,,,,
DEFENDER-ANTIPHISH-001,Ensure that an anti-phishing policy has been created,ANTIPHISH,Defender,SI-8,FULL,END-08,Endpoint Security,Does the organization utilize anti-phishing and spam protection technologies to detect and take action on unsolicited me,10,,,,,
DNS-SPF-001,Ensure that SPF records are published for all Exchange Domains,SPF,DNS,AC-2d;SI-8,FULL,IAC-15,Identification & Authentication,"Does the organization proactively govern account management of individual, group, system, service, application, guest an",10,IAC-07.2;END-08;NET-12;TDA-18,,,,
DNS-DKIM-001,Ensure that DKIM is enabled for all Exchange Online Domains,DKIM,DNS,SC-8,FULL,CRY-03,Cryptographic Protections,Are cryptographic mechanisms utilized to protect the confidentiality of data being transmitted?,10,CRY-04,,,,
DNS-DMARC-001,Ensure DMARC Records for all Exchange Online domains are published,DMARC,DNS,SI-8;SI-4(5),FULL,MON-01.4,Continuous Monitoring,"Does the organization generate, monitor, correlate and respond to alerts from physical, cybersecurity, data protection a",7,END-08,,,,
DEFENDER-MALWARE-002,Ensure comprehensive attachment filtering is applied,MALWARE,Defender,SI-3;CM-6a,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;CFG-02.7;END-04.1;VPM-01;VPM-05,,,,
EXO-CONNFILTER-001,Ensure the connection filter IP allow list is not used,CONNFILTER,ExchangeOnline,AC-4;SI-8,FULL,NET-04,Network Security,Does the organization implement and govern Access Control Lists (ACLs) to provide data flow enforcement that explicitly ,10,END-08,,,,
EXO-CONNFILTER-002,Ensure the connection filter safe list is off,CONNFILTER,ExchangeOnline,AC-4;SI-8,FULL,NET-04,Network Security,Does the organization implement and govern Access Control Lists (ACLs) to provide data flow enforcement that explicitly ,10,END-08,,,,
DEFENDER-ANTISPAM-002,Ensure inbound anti-spam policies do not contain allowed domains,ANTISPAM,Defender,SI-8,FULL,END-08,Endpoint Security,Does the organization utilize anti-phishing and spam protection technologies to detect and take action on unsolicited me,10,,,,,
DEFENDER-OUTBOUND-001,Ensure outbound anti-spam message limits are in place,OUTBOUND,Defender,SI-8;CM-6a,FULL,CFG-02.7,Configuration Management,"Does the organization document, assess risk and approve or deny deviations to standardized configurations?",9,END-08;CFG-02,,,,
DEFENDER-PRIORITY-001,Ensure Priority account protection is enabled and configured,PRIORITY,Defender,CM-6a;SI-3a;SI-8,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;CFG-02.7;END-08;END-04.1;VPM-01,,,,
DEFENDER-PRIORITY-002,Ensure Priority accounts have 'Strict protection' presets applied,PRIORITY,Defender,CM-6a;SI-3a;SI-8,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;CFG-02.7;END-08;END-04.1;VPM-01,,,,
DEFENDER-CLOUDAPPS-001,Ensure Microsoft Defender for Cloud Apps is enabled and configured,CLOUDAPPS,Defender,SI-4(5),FULL,MON-01.4,Continuous Monitoring,"Does the organization generate, monitor, correlate and respond to alerts from physical, cybersecurity, data protection a",7,,,,,
DEFENDER-ZAP-001,Ensure Zero-hour auto purge for Microsoft Teams is on,ZAP,Defender,SI-3a;SI-8,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;END-08;END-04.1;VPM-01;VPM-05,,,,
COMPLIANCE-AUDIT-001,Ensure Microsoft 365 audit log search is Enabled,AUDIT,Compliance,AU-12,FULL,MON-06,Continuous Monitoring,Does the organization provide an event log report generation capability to aid in detecting and assessing anomalous acti,7,,,,,
COMPLIANCE-DLP-001,Ensure DLP policies are enabled,DLP,Compliance,SC-7(10),FULL,NET-03.5,Network Security,Does the organization use automated mechanisms to prevent the unauthorized exfiltration of sensitive/regulated data acro,5,NET-17,,,,
COMPLIANCE-DLP-002,Ensure DLP policies are enabled for Microsoft Teams,DLP,Compliance,SC-7(10),FULL,NET-03.5,Network Security,Does the organization use automated mechanisms to prevent the unauthorized exfiltration of sensitive/regulated data acro,5,NET-17,,,,
COMPLIANCE-LABELS-001,Ensure Information Protection sensitivity label policies are published,LABELS,Compliance,AC-3;SC-7(10),FULL,NET-03.5,Network Security,Does the organization use automated mechanisms to prevent the unauthorized exfiltration of sensitive/regulated data acro,5,NET-17;IAC-20;NET-12;TDA-18,,,,
FORMS-CONFIG-002,Ensure external users cannot collaborate on Microsoft Forms,CONFIG,Forms,AC-3;AC-22,FULL,DCH-15,Data Classification & Handling,Does the organization control publicly-accessible content?,10,IAC-20;TDA-18;NET-12,,,,
FORMS-CONFIG-001,Ensure external users cannot respond to Microsoft Forms,CONFIG,Forms,AC-3;AC-22,FULL,DCH-15,Data Classification & Handling,Does the organization control publicly-accessible content?,10,IAC-20;TDA-18;NET-12,,,,
FORMS-CONFIG-004,Ensure Microsoft Forms phishing protection is enabled,CONFIG,Forms,SI-3;SI-8,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;END-08;END-04.1;VPM-01;VPM-05,,,,
INTUNE-COMPLIANCE-001,Ensure devices without a compliance policy are marked 'not compliant',COMPLIANCE,Intune,CM-6;CM-8,FULL,AST-02.3,Asset Management,Does the organization establish and maintain an authoritative source and repository to provide a trusted source and acco,2,CFG-02.7;AST-02;CFG-02,,,,
EXO-ANTIPHISH-001,Anti-Phishing Policy Configuration,ANTIPHISH,ExchangeOnline,SI-3;SI-8,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;END-08;END-04.1;VPM-01;VPM-05,,,,
INTUNE-ENROLL-001,Ensure device enrollment for personally owned devices is blocked by default,ENROLL,Intune,AC-19a;CM-7,FULL,CFG-03,Configuration Management,Does the organization configure systems to provide only essential capabilities by specifically prohibiting or restrictin,10,MDM-02,,,,
EXO-ANTISPAM-001,Anti-Spam Policy Configuration,ANTISPAM,ExchangeOnline,SI-8,FULL,END-08,Endpoint Security,Does the organization utilize anti-phishing and spam protection technologies to detect and take action on unsolicited me,10,,,,,
EXO-DKIM-001,DKIM Signing Configuration,DKIM,ExchangeOnline,SC-8;SI-3,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;END-04.1;VPM-01;CRY-03;VPM-05,,,,
EXO-MALWARE-001,Malware Filter Policy Configuration,MALWARE,ExchangeOnline,SI-3,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;END-04.1;VPM-01;VPM-05;TDA-18,,,,
ENTRA-PERUSER-001,Ensure 'Per-user MFA' is disabled,PERUSER,Entra,IA-2(1);IA-2(2);CM-6,FULL,CFG-02.7,Configuration Management,"Does the organization document, assess risk and approve or deny deviations to standardized configurations?",9,IAC-06.3;IAC-10.7;IAC-06.2;IAC-06;IAC-06.1,,,,
CA-EXCLUSION-001,Privileged admins excluded from Conditional Access policies,CAEXCLUSION,StrykerReadiness,AC-3;AC-6,FULL,IAC-21,Identification & Authentication,"Does the organization utilize the concept of least privilege, allowing only authorized access to processes necessary to ",10,IAC-20;TDA-18;NET-12,,,,
ENTRA-APPS-001,Ensure third party integrated applications are not allowed,APPS,Entra,AC-6(10);CM-5,FULL,END-03.2,Endpoint Security,"Does the organization define, document, approve and enforce access restrictions associated with changes to Technology As",8,IAC-21.5;CHG-04,,,,
ENTRA-TENANT-001,Ensure 'Restrict non-admin users from creating tenants' is set to 'Yes',TENANT,Entra,AC-6(10);CM-5,FULL,END-03.2,Endpoint Security,"Does the organization define, document, approve and enforce access restrictions associated with changes to Technology As",8,IAC-21.5;CHG-04,,,,
ENTRA-ADMIN-002,Ensure access to the Entra admin center is restricted,ADMIN,Entra,AC-6(5);AC-3,FULL,IAC-21.3,Identification & Authentication,Does the organization restrict the assignment of privileged accounts to management-approved personnel and/or roles?,10,IAC-20;TDA-18;NET-12,,,,
ENTRA-SESSION-001,Ensure the option to remain signed in is hidden,SESSION,Entra,AC-11;AC-12,FULL,IAC-25,Identification & Authentication,"Does the organization use automated mechanisms to log out users, both locally on the network and for remote sessions, at",9,IAC-24,,,,
ENTRA-LINKEDIN-001,Ensure 'LinkedIn account connections' is disabled,LINKEDIN,Entra,CM-7,FULL,CFG-03,Configuration Management,Does the organization configure systems to provide only essential capabilities by specifically prohibiting or restrictin,10,,,,,
ENTRA-GROUP-002,Ensure a dynamic group for guest users is created,GROUP,Entra,AC-2;AC-6,FULL,IAC-15,Identification & Authentication,"Does the organization proactively govern account management of individual, group, system, service, application, guest an",10,IAC-07.2;IAC-21;IAC-20;NET-12;TDA-18,,,,
ENTRA-GROUP-001,Ensure users cannot create security groups,GROUP,Entra,AC-6(10);CM-5,FULL,END-03.2,Endpoint Security,"Does the organization define, document, approve and enforce access restrictions associated with changes to Technology As",8,IAC-21.5;CHG-04,,,,
ENTRA-DEVICE-001,Ensure the ability to join devices to Entra is restricted,DEVICE,Entra,AC-3;CM-7,FULL,CFG-03,Configuration Management,Does the organization configure systems to provide only essential capabilities by specifically prohibiting or restrictin,10,IAC-20;TDA-18;NET-12,,,,
ENTRA-DEVICE-002,Ensure the maximum number of devices per user is limited,DEVICE,Entra,CM-8;AC-19a,FULL,MDM-02,Mobile Device Management,Does the organization enforce access control requirements for the connection of mobile devices to organizational Technol,9,AST-02.3;AST-02,,,,
ENTRA-DEVICE-003,Ensure the GA role is not added as a local administrator during Entra join,DEVICE,Entra,AC-6(5);CM-6,FULL,IAC-21.3,Identification & Authentication,Does the organization restrict the assignment of privileged accounts to management-approved personnel and/or roles?,10,CFG-02.7;CFG-02,,,,
ENTRA-DEVICE-004,Ensure local administrator assignment is limited during Entra join,DEVICE,Entra,AC-6(5);CM-6,FULL,IAC-21.3,Identification & Authentication,Does the organization restrict the assignment of privileged accounts to management-approved personnel and/or roles?,10,CFG-02.7;CFG-02,,,,
ENTRA-DEVICE-005,Ensure Local Administrator Password Solution is enabled,DEVICE,Entra,IA-5;CM-6,FULL,CFG-02.7,Configuration Management,"Does the organization document, assess risk and approve or deny deviations to standardized configurations?",9,IAC-10.8;IAC-10;CFG-02,,,,
ENTRA-DEVICE-006,Ensure users are restricted from recovering BitLocker keys,DEVICE,Entra,AC-6;AC-3,FULL,IAC-21,Identification & Authentication,"Does the organization utilize the concept of least privilege, allowing only authorized access to processes necessary to ",10,IAC-20;NET-12;TDA-18,,,,
ENTRA-CONSENT-001,Ensure user consent to apps accessing company data on their behalf is not allowed,CONSENT,Entra,AC-6(10);CM-5,FULL,END-03.2,Endpoint Security,"Does the organization define, document, approve and enforce access restrictions associated with changes to Technology As",8,IAC-21.5;CHG-04,,,,
ENTRA-CONSENT-002,Ensure the admin consent workflow is enabled,CONSENT,Entra,CM-4;AC-6(10),FULL,CHG-03,Change Management,"Does the organization analyze proposed changes for potential security impacts, prior to the implementation of the change",9,IAC-21.5,,,,
ENTRA-GUEST-004,Ensure that collaboration invitations are sent to allowed domains only,GUEST,Entra,AC-3,FULL,IAC-20,Identification & Authentication,"Does the organization enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege",10,TDA-18;NET-12,,,,
ENTRA-GUEST-001,Ensure that guest user access is restricted,GUEST,Entra,AC-6,FULL,IAC-21,Identification & Authentication,"Does the organization utilize the concept of least privilege, allowing only authorized access to processes necessary to ",10,IAC-20,,,,
ENTRA-GUEST-002,Ensure guest user invitations are limited to the Guest Inviter role,GUEST,Entra,AC-6(10),FULL,IAC-21.5,Identification & Authentication,"Does the organization prevent non-privileged users from executing privileged functions to include disabling, circumventi",9,,,,,
ENTRA-HYBRID-001,Ensure that password hash sync is enabled for hybrid deployments,HYBRID,Entra,IA-5,FULL,IAC-10.8,Identification & Authentication,Does the organization ensure default authenticators are changed as part of account creation or system installation?,10,IAC-10,,,,
EXO-TRANSPORT-002,Transport Rule Configuration for External Forwarding,TRANSPORT,ExchangeOnline,AC-4;SC-7,FULL,NET-04,Network Security,Does the organization implement and govern Access Control Lists (ACLs) to provide data flow enforcement that explicitly ,10,NET-03,,,,
CA-MFA-ADMIN-001,Ensure multifactor authentication is enabled for all users in administrative roles,MFA-ADMIN,CAEvaluator,IA-2(1);IA-2(2),FULL,IAC-06.3,Identification & Authentication,Does the organization utilize Multi-Factor Authentication (MFA) to authenticate local access for privileged accounts?,5,IAC-10.7;IAC-06.2;IAC-06;IAC-06.1;IAC-06.4,,,,
